FID,HD,PH,PL,TN,GP,SSR,TGW,GL,GW,Y
S273,114,114.8,24.39,6.7,121.1,94.8802642444261,24.73,9.208,2.615,21.5
S274,115,96,17.89,6.5,121.4,93.0807248764415,22.1,7.404,3.169,24.25
S275,121,90.3,15.48,9.4,121.8,98.2758620689655,23.79,7.044,3.391,19.75
S276,121,90.5,20.21,6.3,147.8,95.466847090663,24.23,7.573,2.95,21.25
S277,105,84.5,15.27,8,154.6,92.4320827943079,23.98,7.272,2.906,23.5
S278,107,90.8,18.74,8.5,182.4,91.2828947368421,23.15,6.63,3.227,24.25
S279,107,92.3,16.51,12.3,159.8,84.918648310388,20.97,6.408,3.189,25.5
S280,121,100.1,16.89,7.5,115.2,94.3576388888889,25.06,7.455,3.18,26.25
S281,123,100.1,16.61,5.7,96.9,93.8080495356037,24.85,7.494,3.162,21.5
S282,118,93.4,17.05,7.3,107.9,95.1807228915663,21.16,7.445,3.3,19.5
S283,121,91.5,16.15,8.2,116.6,99.9142367066895,35.21,7.572,3.346,22.25
S284,107,91.7,16.48,5.5,125.7,87.3508353221957,28.26,7.875,3.237,22.75
S285,114,96.4,17.62,7.7,101.4,96.0552268244576,23.65,7.532,3.063,20.25
S286,111,91.7,17.42,6.2,101.9,89.3032384690873,23.71,7.277,3.222,25.25
S287,109,88.8,15.48,6.6,164.6,91.6160388821385,25.71,7.597,3.139,17.25
S288,110,87.7,18.27,6.9,99.6,95.281124497992,23.24,7.221,3.313,21.25
S289,105,92.3,20.34,10.5,158.3,79.0903348073279,24,6.871,3.409,28.75
S290,109,93.5,16.68,6.7,105.2,92.680608365019,24.39,7.772,3.122,25
S291,108,95.9,17.85,8.7,138.2,92.0405209840811,24.36,7.959,3.249,26.25
S292,113,94.2,17.69,6.9,97.6,93.0327868852459,22.32,7.362,2.992,22.25
S293,113,94.4,17.81,8.1,105.6,91.0037878787879,23.94,7.299,3.166,23
S294,117,100,18.35,7.7,130.7,90.3596021423106,23.46,7.709,3.12,22.5
S295,113,101.5,17.63,7.9,111,88.2882882882883,23.87,7.561,3.043,21
S296,112,103.6,18.4,8,121.4,96.5403624382208,24.4,7.525,3.293,27.75
S297,113,103.9,17.84,8.3,89.1,91.4702581369248,24.13,7.521,3.196,26
S298,117,98.5,16.45,8.1,90.4,87.1681415929203,20.99,7.847,3.155,24.5
S299,114,85.4,17.84,9.7,149.4,88.7550200803213,24.86,7.671,3.301,25.25
S300,105,96.1,17.62,10.3,150.8,78.7135278514589,25.73,6.819,3.313,29.25
S301,124,103.9,17.0222222222222,10.1,115.1,91.0512597741095,23.58,7.019,3.16,27
S302,111,97.5,18.1,7.4,105.1,85.1569933396765,21.68,7.393,3.157,23
S303,110,95.1,17.97,5.3,105.2,93.1558935361217,22.82,7.707,2.931,22
S304,108,91.4,18.28,7.9,133.6,86.2275449101796,25.92,7.824,3.241,24.25
S305,114,92.3,16.6,7.1,91.7,89.0948745910578,21.76,7.303,3.116,21.75
S306,108,95.8,17.4,5.9,93.5,91.1229946524064,26.35,7.867,3.309,17.5
S307,115,90.3,17.8111111111111,8,116.7,91.0025706940874,20.52,7.545,3.046,21.25
S308,117,94.1,17.99,8.2,103.4,87.5241779497099,24.59,7.593,3.095,19.75
S309,114,91.2,17.71,7.2,92.1,95.4397394136808,22.2,7.387,3.076,21.5
S310,115,97.1,17.71,6.6,75.5,93.3774834437086,24.42,7.453,3.206,19.25
S311,105,91.7,18.06,10.5,156.7,81.8761965539247,24.4,6.9,3.37,32.75
S312,114,92.2,17.66,7.4,104,91.5384615384615,22.03,7.599,3.1,19
S313,114,91.8,18.26,6.9,111,88.5585585585586,21.94,7.674,3.021,19.5
S314,109,91.3,18.67,7.7,128.7,94.7940947940948,26.54,8.049,3.436,18.5
S315,112,95.2,19.17,6,78.9,89.4803548795944,26.64,7.82,3.415,24
S316,119,99.9,18.4555555555556,5.6,128.7,94.2501942501943,26.02,7.462,3.227,18
